T14,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
660,Anguilla,2010,Balance of Payments: Financial account (millions of US dollars),-35,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
660,Anguilla,2015,Balance of Payments: Financial account (millions of US dollars),-36,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
660,Anguilla,2018,Balance of Payments: Financial account (millions of US dollars),-145,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,1985,Balance of Payments: Current account (millions of US dollars),-23,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,1995,Balance of Payments: Current account (millions of US dollars),-1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,2010,Balance of Payments: Current account (millions of US dollars),-167,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,2015,Balance of Payments: Current account (millions of US dollars),29,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,2018,Balance of Payments: Current account (millions of US dollars),-113,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,1995,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,2010,Balance of Payments: Capital account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,2015,Balance of Payments: Capital account (millions of US dollars),47,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,2018,Balance of Payments: Capital account (millions of US dollars),20,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,1985,Balance of Payments: Financial account (millions of US dollars),-23,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,1995,Balance of Payments: Financial account (millions of US dollars),24,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
